{4a82b278-597f-45ac-9bd2-7bdfb9bf4c07} event:/Duckpond
{c1b36e26-4841-4552-8a84-ef7c903171c9} event:/GameMusicOne
{ecea01b0-dceb-4f63-8650-ce4a11e90ca0} event:/GameMusicTwo
{096e26f8-92fc-4fc8-8993-a8dc83a77ded} event:/GangstaMan
{ebcc6e89-3d7c-40d7-8cc6-fd5706bbe0c3} event:/ScienceMan
{bca28707-c3c9-48f8-b3aa-0ca6b47ae7e0} event:/SexyMan
{2559e650-ae98-4e30-afb6-68a861e26744} bus:/
{6a06cec1-6b36-49b8-8a9e-62ba6d22b218} bus:/Reverb
{652cc488-9106-4489-b691-b2f3f2056f8d} bank:/Master Bank
{3e1ddb2f-8d58-4161-bc19-22d8b9630fb2} bank:/Music
{0c7ef6da-18e1-4465-b68b-2fc96f65269e} bank:/SFX
